nanyangSiteId,siteNameZh,siteNameEn,siteNameAlt1,latitude,longitude
bin-mb-001,交日港 元大上帝古廟,,Cetiya Bhakti Sasana,0.992786,104.625917
bin-mb-002,大觀音山梅峰寺,,Vihara Avalokitesvara Graha,0.948204,104.511784
bin-mb-003,[大伯公],,,1.052865,104.649272
bin-mb-004,[大伯公],,,0.978733,104.56235
bin-mb-005,靈山濟玉寺,,Vihara Ksitigarbha Bodhisattva,0.904433,104.539662
bin-mb-006,樹腳 大伯公,,Bintan Dharma Bhakti,0.9858,104.587678
bin-mb-007,榕樹壇,Banyan Tree Temple,Kuil Pohon Beringin,0.944452,104.439274
bin-mb-008,天心堂,,,0.942599,104.43993
bin-mb-009,大坡 關聖壇,,Cetiya Kuan Siah Tua,0.942254,104.440359
bin-mb-010,義安公司,Klenteng Toa Lao Ya Kong,,0.943445,104.440064
bin-mb-011,包公宮 / 龍安廟,Kelenteng Pau Kong Keng,,0.944693,104.439896
bin-mb-012,福德祠,,,0.944688,104.434901
bin-mb-013,天后聖廟,,Vihara Dharma Sasana,0.944622,104.435013
bin-mb-014,北極上帝 / 玄天上帝廟,,,0.944521,104.435116
bin-mb-015,圓覺寺,,Vihara Dharma Sasana,0.94482,104.435428
bin-mb-016,海南會館,,Yayasan Laut Selatan Bintan ,0.93015,104.444015
bin-mb-017,[白馬老師],,,0.930378,104.443813
bin-mb-018,天后宮,,Vihara Bahtra Sasana,0.930526,104.443161
bin-mb-019,張公聖君,,Vihara Cetiya Chen Jan Tuen,0.932418,104.441177
bin-mb-020,[玄天上帝] / 城隍廟,,Cetiya Bodhi Sasana,0.934267,104.443507
bin-mb-021,天顯廟 / 城隍爺殿 大二爺伯,,Cetiya Satya Dharma,0.930945,104.445048
bin-mb-022,中嶽殿 / 大二三爺伯  ,,Kelenteng Zhong Yu Dian,0.931113,104.445969
bin-mb-023,廟山 三娘佛祖宮,,Cetya Sasanakirti,0.929956,104.445383
bin-mb-024,武聖廟,,Yayasan Sangharama Bodhisattva,0.930587,104.446321
bin-mb-025,[地藏廟],,Cetiya Ksitigarbha,0.928537,104.445694
bin-mb-026,蓮花壇 / 酆都城朱都府,,,0.92868,104.447401
bin-mb-027,千手觀音,,,0.929955,104.448643
bin-mb-028,忠義廟,,,0.930553,104.448724
bin-mb-029,關聖帝君廟,,Yayasan Thirata Mutiara Sasana,0.929924,104.449172
bin-mb-030,福德正神 大伯公廟 / 拿督大伯公,,Klenteng Hok Tek Cia Seng,0.93022,104.45029
bin-mb-031,南山大伯公 / 齊天大聖 ,,Cetiya Nam Sua Tua Pek Kong / Sen mo kong,0.930759,104.45041
bin-mb-032,山天法主公 / 五殿大二爺伯,,,0.930004,104.450987
bin-mb-033,中壇廟 / 大二爺伯,,Cetiya Tridharma Tirta Sasana,0.929356,104.449828
